Annexure D : List of susbtations and Available Capacity in MW terms,,
S.No,Name of Substation,"Available Capacity as on datein MW terms"
737,33/11 KV SS Utlapally,
738,33/11 KV SS Nunavath Thanda,
739,Haliya(M),15
740,33/11 KV SS B. Annaram,
741,33/11 KV SS Thimmapur,
742,33/11 KV SS Tripuraram,
743,33/11 KV SS Matoor,
744,33/11 KV SS Thummdam,
745,Huzurnagar (My),14
746,33/11 KV SS Gaddipally,
747,33/11 KV SS Mukundapuram,
748,Kannekal,15
749,33/11 KV SS Kannekal,
750,33/11 KV SS Mupparam,
751,33/11 KV SS Guntipally,
752,33/11 KV SS Kamareddygudem,
753,Miryalaguda,15
754,33/11 KV SS Miryalguda,
755,33/11 KV SS V.K.PALEM,
756,33/11 KV SS Vemulapally,
757,33/11 KV SS Settipalem,
758,33/11 KV SS Miryalguda FCI,
759,132/33 KV SS Dirsincherla,13
760,Dirsincherla,13
761,33/11 KV SS Diersencherla,
762,Garidepally,13
763,33/11 KV SS Kitavarigudem,
764,33/11 KV SS Garidepally,
765,33/11 KV SS Ponugode,
766,Kalmalchervu,13
767,33/11 KV SS KalmalaChervu,
768,Palakeedu,13
769,33/11 KV SS Palakeedu,
770,33/11 KV SS Alingapuram,
771,132/33 KV SS Haliya,10
772,Haliya(H),10
773,33/11 KV SS Halia,
774,33/11 KV SS Pulimamidi,
775,33/11 KV SS Nidamanoor,
776,Peddavoora,10
777,33/11 KV SS Peddavoora,
778,33/11 KV SS Pottichelma,
779,33/11 KV SS Pulicharla,
780,33/11 KV SS Nellikal,
781,33/11 KV SS Velmagudem,
782,Rajavaram,10
783,33/11 KV SS Yacharam,
784,33/11 KV SS Rajavaram,
785,132/33 KV SS Madugulapally,10
786,Agamothkur,10
787,33/11 KV SS Thipparthy,
788,33/11 KV SS Mamidala,
789,33/11 KV SS Aga Mothkur,
790,33/11 KV SS Cherukupally,
791,33/11 KV SS Chervupally,
792,Madugulapally,10
793,33/11 KV SS Madgulapally,
794,Thadakamalla,10
795,33/11 KV SS Thadakamalla,
796,33/11 KV SS Laxmidevigudem,
797,33/11 KV SS Seethya thanda,
"",Nalgonda district total:,553
"",,
TSNPDCL,,
WARANGAL DISTRICT,,
"",,
798,132/33 KV SS Narsampet,23
799,Kothaguda,15
800,33/11 KV SS Gangaram,
801,33/11 KV SS Kothaguda,
802,33/11 KV SS Mangalavaripet,
803,33/11 KV SS Sadireddypally,
804,Nallabelly,15
805,33/11 KV SS Dasaripally,
806,33/11 KV SS Medapally,
807,33/11 KV SS Nallabelly,
808,Narsampet,15
809,33/11 KV SS Maheshwaram,
810,33/11 KV SS Narsampet,
811,Rekhampally,15
812,33/11 KV SS Duggondi,
813,33/11 KV SS Keshavapur,
814,33/11 KV SS Rekhampally,
815,132/33 KV SS Janagaon,23
816,Adavikeshavapur,15
817,33/11 KV SS Obulakeshapur,
